cut_id,spindle_speed_rpm,feed_rate_mm_min,depth_of_cut_mm,coolant,force_x,force_y,force_z,force_resultant,vibration_x,vibration_y,vibration_z,vibration_rms,ae_rms,flank_wear_um,tool_health_pct,rul_cuts,is_anomaly,anomaly_type
34,10412.1,1552.3,1.509,Flood,144.55,135.67,76.92,212.65,1.267,1.691,1.151,1.389,0.3534,55.98,71.3,271,0,NORMAL
35,10418.4,1559.0,1.48,Flood,148.58,136.15,81.37,217.33,1.345,1.343,1.099,1.268,0.3791,55.98,71.3,270,0,NORMAL
36,10402.1,1555.4,1.508,Flood,156.32,130.14,85.61,220.68,1.501,1.181,0.952,1.232,0.3457,55.98,71.3,269,0,NORMAL
37,10382.2,1553.0,1.517,Flood,162.88,138.98,87.99,231.49,1.186,1.483,1.055,1.254,0.3442,56.37,71.1,268,0,NORMAL
38,10392.5,1556.4,1.529,Flood,160.49,134.57,70.6,221.02,1.434,1.497,1.123,1.361,0.3747,56.37,71.1,267,0,NORMAL
39,10425.5,1554.7,1.521,Flood,152.97,145.02,80.53,225.65,1.537,1.544,1.178,1.43,0.3308,56.37,71.1,266,0,NORMAL
40,10398.9,1548.1,1.508,Flood,149.22,122.62,87.78,212.16,1.41,1.476,1.061,1.328,0.3231,57.82,70.3,265,0,NORMAL
41,10350.1,1556.4,1.477,Flood,157.74,138.44,71.08,221.58,1.406,1.536,1.325,1.425,0.3939,59.07,69.7,264,0,NORMAL
42,10378.0,1550.9,1.502,Flood,145.03,140.53,82.08,217.99,1.499,1.646,0.958,1.399,0.4069,59.07,69.7,263,0,NORMAL
43,10393.6,1558.7,1.491,Flood,147.36,135.18,80.34,215.51,1.427,1.361,1.078,1.298,0.3691,59.07,69.7,262,0,NORMAL
44,10415.5,1554.0,1.504,Flood,167.14,133.21,82.63,229.15,1.617,1.339,1.121,1.374,0.3641,59.07,69.7,261,0,NORMAL
45,10395.9,1558.1,1.482,Flood,157.72,133.59,76.11,220.26,1.317,1.323,1.11,1.254,0.406,59.07,69.7,260,0,NORMAL
46,10415.8,1552.5,1.497,Flood,151.7,138.91,72.69,218.16,1.451,1.421,1.022,1.313,0.3538,59.55,69.5,259,0,NORMAL
47,10392.1,1555.3,1.492,Flood,161.91,121.32,70.19,214.15,1.486,1.612,1.176,1.436,0.3492,59.82,69.3,258,0,NORMAL
48,10370.5,1559.8,1.492,Flood,168.9,150.5,88.07,242.76,1.474,1.576,1.21,1.428,0.4136,63.95,67.2,257,0,NORMAL
49,10392.6,1553.9,1.492,Flood,154.18,137.49,88.77,224.85,1.175,1.572,1.181,1.322,0.3962,63.95,67.2,256,0,NORMAL
50,10405.2,1552.6,1.498,Flood,154.33,142.96,84.36,226.66,1.5,1.318,1.206,1.347,0.4226,63.95,67.2,255,0,NORMAL
51,10403.9,1557.6,1.504,Flood,153.62,145.6,79.99,226.27,1.634,1.449,1.143,1.423,0.344,64.42,67.0,254,0,NORMAL
52,10381.2,1557.5,1.463,Flood,166.51,137.56,74.0,228.31,1.619,1.324,1.035,1.347,0.3626,64.42,67.0,253,0,NORMAL
53,10394.7,1552.8,1.464,Flood,166.59,141.12,86.02,234.66,1.568,1.655,1.117,1.466,0.398,64.42,67.0,252,0,NORMAL
54,10440.3,1547.1,1.495,Flood,171.37,125.72,77.68,226.29,1.418,1.727,1.212,1.468,0.4133,66.12,66.1,251,0,NORMAL
55,10381.5,1552.6,1.497,Flood,169.59,152.58,80.74,242.0,1.625,1.668,1.231,1.521,0.4298,68.02,65.1,250,0,NORMAL
56,10409.9,1557.7,1.503,Flood,147.28,155.91,81.52,229.44,1.511,1.477,1.222,1.409,0.4137,68.21,65.0,249,0,NORMAL
57,10368.5,1551.9,1.489,Flood,163.55,130.88,83.65,225.55,1.623,1.748,1.268,1.56,0.4135,68.21,65.0,248,0,NORMAL
58,10413.0,1555.0,1.5,Flood,152.16,142.53,80.57,223.51,1.595,1.558,1.166,1.453,0.3998,68.21,65.0,247,0,NORMAL
59,10386.6,1552.4,1.502,Flood,156.8,135.12,84.93,223.73,1.463,1.452,1.221,1.383,0.4494,68.21,65.0,246,0,NORMAL
60,10406.0,1547.3,1.489,Flood,163.67,146.05,82.0,234.18,1.494,1.502,1.284,1.43,0.3863,69.62,64.3,245,0,NORMAL
61,10380.6,1552.3,1.515,Flood,169.32,153.48,89.28,245.35,1.643,1.561,1.225,1.487,0.423,69.62,64.3,244,0,NORMAL
62,10404.4,1557.7,1.503,Flood,154.65,156.53,91.09,238.15,1.574,1.614,1.121,1.454,0.3894,69.62,64.3,243,0,NORMAL
63,10386.4,1545.5,1.508,Flood,142.46,157.74,86.02,229.3,1.5,1.59,1.146,1.425,0.4276,69.62,64.3,242,0,NORMAL
64,10389.3,1556.0,1.501,Flood,163.75,159.44,87.96,244.9,1.49,1.453,1.308,1.419,0.3884,69.62,64.3,241,0,NORMAL
65,10406.6,1550.3,1.532,Flood,186.43,148.05,98.18,257.51,1.598,1.779,1.382,1.595,0.4399,71.94,63.1,240,0,NORMAL
66,10393.5,1557.4,1.509,Flood,162.79,140.51,80.44,229.6,1.834,1.641,1.37,1.626,0.4265,72.69,62.7,239,0,NORMAL
67,10405.7,1557.9,1.493,Flood,164.92,149.8,80.11,236.76,1.583,1.579,1.285,1.489,0.4674,72.69,62.7,238,0,NORMAL
68,10397.1,1554.3,1.512,Flood,179.73,156.61,90.75,255.08,1.645,1.781,1.156,1.551,0.4171,72.77,62.7,237,0,NORMAL
69,10401.0,1554.3,1.475,Flood,169.69,140.0,97.7,240.71,1.661,1.531,1.265,1.495,0.4352,72.9,62.6,236,0,NORMAL
70,10406.7,1551.8,1.502,Flood,166.52,165.99,85.56,250.2,1.513,1.482,1.406,1.468,0.4052,72.9,62.6,235,0,NORMAL
71,10394.7,1549.6,1.505,Flood,168.63,159.4,96.62,251.36,1.441,1.805,1.324,1.537,0.4184,73.16,62.5,234,0,NORMAL
72,10385.1,1561.8,1.502,Flood,168.84,152.02,88.82,243.94,1.566,1.914,1.275,1.606,0.4356,75.61,61.2,233,0,NORMAL
73,10392.0,1551.5,1.495,Flood,157.02,147.48,84.55,231.42,1.719,1.655,1.35,1.583,0.3949,75.61,61.2,232,0,NORMAL
74,10417.9,1561.3,1.485,Flood,156.37,149.34,83.52,231.8,1.721,1.724,1.194,1.566,0.402,77.03,60.5,231,0,NORMAL
75,10401.7,1551.6,1.488,Flood,183.81,156.03,92.43,258.22,1.795,1.603,1.245,1.564,0.4525,77.03,60.5,230,0,NORMAL
76,10387.3,1557.1,1.502,Flood,169.33,153.3,83.94,243.35,1.722,1.73,1.21,1.573,0.434,77.03,60.5,229,0,NORMAL
77,10406.0,1550.4,1.483,Flood,168.62,163.92,89.42,251.59,1.697,1.677,1.35,1.583,0.423,77.03,60.5,228,0,NORMAL
78,10407.0,1557.1,1.527,Flood,167.0,152.28,97.68,246.21,1.638,1.718,1.372,1.583,0.4195,77.03,60.5,227,0,NORMAL
79,10407.8,1553.7,1.46,Flood,174.41,159.92,87.29,252.21,1.816,1.774,1.294,1.645,0.4206,77.03,60.5,226,0,NORMAL
80,10385.3,1553.7,1.495,Flood,189.35,155.11,96.2,262.99,1.6,1.608,1.229,1.49,0.441,77.03,60.5,225,0,NORMAL
81,10389.8,1557.4,1.502,Flood,172.22,157.79,82.29,247.65,1.577,1.689,1.306,1.533,0.4494,77.03,60.5,224,0,NORMAL
82,10389.8,1553.1,1.508,Flood,162.89,153.46,86.11,239.78,1.781,1.533,1.266,1.541,0.3866,77.18,60.4,223,0,NORMAL
83,10394.6,1549.3,1.486,Flood,169.67,166.0,83.17,251.51,1.612,1.758,1.278,1.562,0.4858,81.07,58.4,222,0,NORMAL
84,10408.1,1558.0,1.517,Flood,179.9,166.13,91.31,261.35,2.061,1.787,1.38,1.765,0.4841,81.07,58.4,221,0,NORMAL
85,10404.4,1550.4,1.479,Flood,165.85,163.77,95.2,251.77,1.781,1.822,1.281,1.647,0.3925,81.07,58.4,220,0,NORMAL
86,10405.6,1557.1,1.492,Flood,263.04,255.09,91.33,377.63,1.813,1.823,1.209,1.64,0.478,81.07,58.4,219,1,Workpiece Hard Inclusion (Force Spike)
87,10420.3,1558.9,1.509,Flood,151.07,151.13,97.66,234.95,1.674,1.896,1.229,1.624,0.4774,81.07,58.4,218,0,NORMAL
88,10410.3,1553.5,1.516,Flood,168.85,162.54,86.79,249.92,1.734,1.628,1.205,1.539,0.4512,81.07,58.4,217,0,NORMAL
89,10397.9,1559.7,1.479,Flood,176.14,170.87,92.15,262.13,1.72,1.633,1.372,1.582,0.4189,81.07,58.4,216,0,NORMAL
90,10382.2,1556.9,1.54,Flood,181.91,164.5,88.21,260.64,1.713,1.862,1.368,1.661,0.4781,81.49,58.2,215,0,NORMAL
91,10389.3,1552.2,1.487,Flood,164.16,150.8,93.1,241.57,1.854,1.58,1.363,1.611,0.4468,81.49,58.2,214,0,NORMAL
92,10396.1,1560.6,1.48,Flood,159.52,161.29,94.64,245.8,1.748,1.851,1.423,1.684,0.4713,83.05,57.4,213,0,NORMAL
93,10412.4,1550.4,1.508,Flood,170.07,165.11,95.07,255.39,1.924,1.701,1.478,1.711,0.5132,83.05,57.4,212,0,NORMAL
94,10399.6,1553.5,1.495,Flood,162.73,154.92,85.98,240.56,2.122,2.004,1.317,1.848,0.4642,83.05,57.4,211,0,NORMAL
95,10390.2,1554.2,1.493,Flood,171.02,149.51,86.97,243.24,1.766,1.858,1.407,1.688,0.4351,83.05,57.4,210,0,NORMAL
96,10389.0,1557.4,1.509,Flood,172.23,158.89,87.99,250.31,1.82,1.807,1.228,1.642,0.4498,83.05,57.4,209,0,NORMAL
97,10399.0,1559.5,1.477,Flood,161.08,155.07,90.55,241.23,1.847,1.966,1.494,1.78,0.4386,83.05,57.4,208,0,NORMAL
98,10413.3,1559.2,1.474,Flood,179.49,162.12,92.58,258.98,2.027,1.722,1.263,1.7,0.4708,83.54,57.2,207,0,NORMAL
99,10423.9,1555.9,1.491,Flood,171.38,148.01,96.03,245.97,1.801,1.744,1.312,1.634,0.4402,83.62,57.1,206,0,NORMAL
100,10396.9,1553.9,1.516,Flood,181.9,167.42,87.47,262.24,1.711,1.702,1.322,1.589,0.4487,83.62,57.1,205,0,NORMAL
101,10399.3,1547.7,1.492,Flood,157.03,156.63,83.33,236.93,1.659,1.745,1.239,1.563,0.4285,83.62,57.1,204,0,NORMAL
102,10381.8,1549.7,1.524,Flood,164.33,171.67,104.16,259.48,1.809,1.853,1.383,1.695,0.4585,83.97,56.9,203,0,NORMAL
103,10429.1,1562.1,1.518,Flood,177.37,160.22,86.08,254.05,1.762,1.901,1.399,1.701,0.4664,83.97,56.9,202,0,NORMAL
104,10379.0,1547.7,1.504,Flood,166.19,162.48,96.91,251.82,2.057,1.952,1.363,1.817,0.3951,83.97,56.9,201,0,NORMAL
105,10417.6,1551.9,1.505,Flood,172.13,161.94,92.83,253.91,2.04,1.658,1.249,1.68,0.471,84.71,56.6,200,0,NORMAL
106,10394.5,1559.6,1.504,Flood,174.95,159.31,94.94,254.95,1.732,1.873,1.586,1.734,0.469,86.59,55.6,199,0,NORMAL
107,10391.0,1555.8,1.502,Flood,179.11,191.79,95.36,279.2,1.83,1.835,1.496,1.728,0.4622,90.35,53.7,198,0,NORMAL
108,10383.3,1558.7,1.495,Flood,172.0,165.07,93.25,255.99,1.924,1.935,1.684,1.851,0.5322,90.35,53.7,197,0,NORMAL
109,10436.2,1557.2,1.496,Flood,179.03,178.75,97.92,271.28,2.083,2.214,1.374,1.926,0.5056,90.35,53.7,196,0,NORMAL
110,10403.3,1560.9,1.484,Flood,171.11,159.69,92.96,251.84,1.922,1.989,1.533,1.826,0.4544,90.35,53.7,195,0,NORMAL
111,10400.3,1556.2,1.467,Flood,183.49,172.88,101.78,271.88,1.838,2.056,1.517,1.817,0.503,90.35,53.7,194,0,NORMAL
112,10413.3,1557.7,1.517,Flood,176.79,173.84,98.49,266.79,1.908,2.173,1.421,1.86,0.5133,90.35,53.7,193,0,NORMAL
113,10390.2,1552.1,1.502,Flood,179.08,169.32,98.67,265.47,1.84,2.081,1.574,1.843,0.4857,90.35,53.7,192,0,NORMAL
114,10400.0,1557.3,1.5,Flood,202.29,168.26,94.3,279.51,2.045,1.971,1.448,1.841,0.502,93.93,51.8,191,0,NORMAL
115,10400.8,1553.4,1.506,Flood,171.04,171.03,95.79,260.15,1.887,1.88,1.452,1.752,0.5016,93.93,51.8,190,0,NORMAL
116,10392.3,1553.2,1.488,Flood,192.25,169.77,90.55,272.0,1.911,2.017,1.172,1.741,0.4412,93.93,51.8,189,0,NORMAL
117,10418.0,1558.6,1.485,Flood,157.84,195.02,95.15,268.33,2.112,1.958,1.522,1.881,0.4888,93.93,51.8,188,0,NORMAL
118,10396.7,1558.6,1.496,Flood,162.78,173.2,91.39,254.65,1.88,1.853,1.366,1.716,0.4877,93.93,51.8,187,0,NORMAL
119,10376.7,1561.8,1.521,Flood,169.9,178.12,104.31,267.35,1.799,2.047,1.435,1.778,0.5296,93.93,51.8,186,0,NORMAL
120,10395.5,1561.5,1.482,Flood,170.44,189.43,97.36,272.79,1.984,2.05,1.392,1.833,0.5024,93.93,51.8,185,0,NORMAL
121,10403.7,1558.7,1.461,Flood,182.18,165.51,98.02,264.94,1.929,2.215,1.452,1.892,0.4868,93.93,51.8,184,0,NORMAL
122,10386.6,1548.1,1.492,Flood,182.91,173.74,95.85,269.87,2.034,1.981,1.525,1.86,0.4922,93.93,51.8,183,0,NORMAL
123,10387.8,1562.3,1.517,Flood,179.32,172.48,98.84,267.72,2.032,2.076,1.501,1.888,0.5243,95.31,51.1,182,0,NORMAL
124,10391.8,1558.7,1.474,Flood,180.21,174.12,111.31,274.2,1.991,1.972,1.563,1.853,0.4943,95.31,51.1,181,0,NORMAL
125,10418.3,1551.9,1.482,Flood,185.97,173.29,96.1,271.75,1.987,2.141,1.614,1.927,0.4816,95.31,51.1,180,0,NORMAL
126,10392.7,1557.9,1.504,Flood,190.27,170.77,95.26,272.84,1.943,2.072,1.491,1.852,0.4989,97.58,50.0,179,0,NORMAL
127,10421.4,1550.9,1.539,Flood,171.91,179.12,101.75,268.31,2.041,1.957,1.481,1.843,0.5295,97.58,50.0,178,0,NORMAL
128,10390.8,1557.5,1.48,Flood,180.11,167.8,84.95,260.4,2.137,2.085,1.61,1.958,0.5186,97.58,50.0,177,0,NORMAL
129,10404.9,1549.7,1.479,Flood,182.59,186.26,99.19,279.05,1.914,2.129,1.617,1.898,0.5075,97.58,50.0,176,0,NORMAL
130,10393.3,1551.8,1.505,Flood,187.31,182.97,96.79,279.16,2.03,2.114,1.591,1.925,0.5114,97.58,50.0,175,0,NORMAL
131,10411.3,1557.8,1.518,Flood,176.62,172.92,93.38,264.22,2.155,2.201,1.438,1.963,0.4929,97.58,50.0,174,0,NORMAL
132,10383.2,1559.3,1.491,Flood,182.43,173.36,101.63,271.4,2.091,1.927,1.562,1.873,0.5022,97.58,50.0,173,0,NORMAL
133,10411.1,1556.3,1.476,Flood,183.44,179.84,99.13,275.35,2.188,1.993,1.534,1.925,0.4907,97.58,50.0,172,0,NORMAL
134,10401.7,1553.9,1.507,Flood,177.2,170.17,88.92,261.28,1.963,2.156,1.619,1.925,0.5001,97.58,50.0,171,0,NORMAL
135,10390.4,1546.5,1.509,Flood,176.99,193.67,95.28,279.13,1.811,2.006,1.472,1.777,0.5414,97.58,50.0,170,0,NORMAL
136,10397.5,1554.2,1.527,Flood,186.3,183.89,84.41,275.04,2.104,2.168,1.407,1.924,0.4897,100.61,48.4,169,0,NORMAL
137,10423.0,1557.1,1.51,Flood,184.35,184.21,101.91,279.83,2.123,1.875,1.619,1.884,0.4997,100.61,48.4,168,0,NORMAL
138,10402.1,1553.7,1.512,Flood,189.71,186.8,101.85,285.06,2.244,2.44,1.326,2.061,0.4858,100.61,48.4,167,0,NORMAL
139,10389.5,1554.9,1.496,Flood,176.51,175.45,95.93,266.72,2.223,2.111,1.491,1.968,0.4806,100.61,48.4,166,0,NORMAL
140,10381.9,1554.3,1.537,Flood,182.48,190.47,103.26,283.27,2.144,2.272,1.465,1.992,0.5129,100.61,48.4,165,0,NORMAL
141,10407.6,1553.7,1.494,Flood,183.51,181.7,93.24,274.56,2.172,2.104,1.464,1.94,0.5023,100.61,48.4,164,0,NORMAL
142,10402.9,1555.3,1.491,Flood,193.36,190.66,95.61,287.89,2.078,2.211,1.503,1.955,0.5658,101.93,47.7,163,0,NORMAL
143,10410.4,1553.9,1.527,Flood,178.45,180.33,103.22,273.89,1.955,2.329,1.68,2.006,0.515,101.93,47.7,162,0,NORMAL
144,10378.1,1560.8,1.478,Flood,188.44,193.96,97.14,287.34,2.116,2.293,1.645,2.036,0.5545,101.93,47.7,161,0,NORMAL
145,10382.4,1546.2,1.472,Flood,188.59,185.72,100.58,283.15,2.219,2.143,1.548,1.993,0.5467,101.93,47.7,160,0,NORMAL
146,10417.2,1552.8,1.502,Flood,200.44,201.75,97.82,300.75,2.18,2.15,1.673,2.015,0.5175,101.93,47.7,159,0,NORMAL
147,10405.0,1551.5,1.5,Flood,177.88,178.78,98.66,270.81,2.201,2.276,1.475,2.017,0.5757,101.93,47.7,158,0,NORMAL
148,10408.0,1555.9,1.497,Flood,180.86,183.95,98.9,276.28,2.05,2.422,1.463,2.017,0.5299,101.93,47.7,157,0,NORMAL
149,10385.6,1555.3,1.515,Flood,178.86,173.38,97.28,267.43,2.078,2.196,1.654,1.99,0.5627,102.44,47.5,156,0,NORMAL
150,10385.3,1561.5,1.486,Flood,172.63,177.9,102.83,268.38,2.168,2.39,1.629,2.087,0.5601,102.44,47.5,155,0,NORMAL
151,10414.9,1562.8,1.501,Flood,201.83,188.23,97.72,292.77,2.044,2.148,1.535,1.928,0.5358,102.44,47.5,154,0,NORMAL
152,10415.6,1551.9,1.495,Flood,176.91,193.76,101.66,281.38,2.062,2.295,1.483,1.976,0.5469,103.29,47.0,153,0,NORMAL
153,10383.7,1555.0,1.487,Flood,180.53,210.28,97.57,293.82,2.159,2.311,1.717,2.078,0.5439,103.29,47.0,152,0,NORMAL
154,10380.8,1555.8,1.499,Flood,199.32,183.72,93.57,286.77,2.23,2.162,1.441,1.977,0.5026,104.19,46.6,151,0,NORMAL
155,10398.4,1551.8,1.513,Flood,173.24,176.19,107.03,269.28,2.115,2.125,1.542,1.946,0.5328,104.19,46.6,150,0,NORMAL
156,10388.0,1557.5,1.532,Flood,194.57,191.37,104.76,292.32,1.999,2.333,1.616,2.004,0.5585,104.19,46.6,149,0,NORMAL
157,10387.7,1554.0,1.509,Flood,179.01,178.67,116.44,278.43,2.114,2.22,1.8,2.052,0.5811,108.03,44.6,148,0,NORMAL
158,10381.2,1550.7,1.462,Flood,201.62,193.9,98.11,296.43,2.226,2.18,1.672,2.042,0.5251,108.03,44.6,147,0,NORMAL
159,10393.0,1553.9,1.499,Flood,172.58,184.3,102.7,272.57,2.225,2.203,1.681,2.052,0.5566,108.03,44.6,146,0,NORMAL
160,10382.7,1551.0,1.501,Flood,176.12,190.72,103.15,279.34,2.231,2.219,1.586,2.035,0.5474,108.03,44.6,145,0,NORMAL
161,10383.6,1559.1,1.514,Flood,186.39,198.64,109.29,293.5,4.065,4.473,1.689,3.623,0.541,108.03,44.6,144,1,Severe Chattering Resonance
162,10404.5,1562.6,1.503,Flood,199.28,187.82,101.06,291.9,2.203,2.335,1.647,2.083,0.5531,108.03,44.6,143,0,NORMAL
163,10399.2,1556.0,1.519,Flood,191.45,198.24,97.86,292.45,2.249,2.374,1.505,2.078,0.5525,108.95,44.1,142,0,NORMAL
164,10407.3,1555.4,1.506,Flood,188.86,197.7,110.94,295.06,2.212,2.342,1.719,2.108,0.5609,108.95,44.1,141,0,NORMAL
165,10375.3,1555.6,1.523,Flood,203.16,173.07,102.56,285.9,2.355,2.23,1.735,2.124,0.5837,108.95,44.1,140,0,NORMAL
166,10400.1,1559.7,1.493,Flood,210.03,181.73,109.13,298.41,2.389,2.372,1.72,2.183,0.5675,108.95,44.1,139,0,NORMAL
167,10431.1,1559.6,1.502,Flood,197.82,176.36,108.74,286.46,2.083,2.435,1.656,2.083,0.5574,109.47,43.9,138,0,NORMAL
168,10394.4,1554.5,1.512,Flood,188.6,211.09,105.53,302.1,2.235,2.415,1.594,2.111,0.6033,111.86,42.6,137,0,NORMAL
169,10412.4,1556.0,1.491,Flood,190.34,192.12,104.73,290.02,2.27,2.4,1.472,2.088,0.5847,111.86,42.6,136,0,NORMAL
170,10412.2,1557.6,1.488,Flood,182.94,209.1,103.54,296.5,2.234,2.266,1.694,2.081,0.555,111.86,42.6,135,0,NORMAL
171,10413.0,1550.4,1.491,Flood,194.75,178.37,105.61,284.43,2.481,2.374,1.777,2.232,0.5271,111.86,42.6,134,0,NORMAL
172,10402.5,1559.9,1.489,Flood,180.04,187.91,110.44,282.71,2.293,2.26,1.769,2.121,0.5331,111.86,42.6,133,0,NORMAL
173,10408.5,1561.9,1.508,Flood,198.59,200.27,101.31,299.68,2.169,2.348,1.753,2.105,0.5814,111.86,42.6,132,0,NORMAL
174,10410.5,1559.7,1.472,Flood,210.94,194.68,106.29,306.1,2.338,2.17,1.673,2.079,0.5426,111.86,42.6,131,0,NORMAL
175,10409.5,1550.0,1.477,Flood,200.0,197.87,99.54,298.42,2.299,2.171,1.777,2.094,0.5335,111.86,42.6,130,0,NORMAL
176,10383.2,1547.1,1.528,Flood,190.72,182.99,100.74,282.86,2.321,2.35,1.775,2.165,0.5431,112.94,42.1,129,0,NORMAL
177,10374.4,1557.8,1.489,Flood,199.19,206.66,106.04,305.99,2.501,2.311,1.653,2.186,0.5451,112.94,42.1,128,0,NORMAL
178,10376.7,1552.0,1.503,Flood,209.39,202.62,96.01,306.78,2.347,2.406,1.766,2.192,0.5873,114.15,41.5,127,0,NORMAL
179,10395.9,1556.1,1.478,Flood,208.97,199.24,118.13,311.95,2.268,2.379,1.657,2.125,0.5624,114.15,41.5,126,0,NORMAL
180,10408.9,1561.1,1.501,Flood,190.29,194.22,102.28,290.5,2.143,2.48,1.801,2.159,0.5444,118.42,39.3,125,0,NORMAL
181,10383.4,1552.4,1.489,Flood,203.15,203.31,108.62,307.25,2.357,2.543,1.636,2.214,0.5798,118.42,39.3,124,0,NORMAL
182,10413.9,1553.5,1.477,Flood,197.47,197.77,115.27,302.32,2.534,2.425,1.642,2.236,0.5849,118.42,39.3,123,0,NORMAL
183,10392.5,1556.1,1.52,Flood,205.67,185.54,104.1,295.91,2.366,2.452,1.848,2.238,0.5676,118.42,39.3,122,0,NORMAL
